,id,title,type,age_certification,runtime,release_year,seasons,imdb_score
22,tm155702,The Wizard of Oz,MOVIE,G,102,1939,0.0,8.1
175,tm83648,Citizen Kane,MOVIE,PG,119,1941,0.0,8.3
281,tm77588,Casablanca,MOVIE,PG,102,1942,0.0,8.5
328,tm82363,The Big Sleep,MOVIE,,116,1946,0.0,7.9
351,tm84701,The Maltese Falcon,MOVIE,,100,1941,0.0,8.0
485,tm156463,Gone with the Wind,MOVIE,G,233,1939,0.0,8.2
488,ts225761,Tom and Jerry,SHOW,,8,1940,16.0,7.7
522,tm5094,The Treasure of the Sierra Madre,MOVIE,,126,1948,0.0,8.2
540,tm54459,The Asphalt Jungle,MOVIE,,112,1950,0.0,7.8
577,tm81960,The Philadelphia Story,MOVIE,,113,1940,0.0,7.9
586,tm58806,Rashomon,MOVIE,,88,1950,0.0,8.2
608,tm4707,The Red Shoes,MOVIE,,133,1948,0.0,8.1
673,tm160494,Stagecoach,MOVIE,,96,1939,0.0,7.8
693,tm47834,M,MOVIE,PG-13,117,1931,0.0,8.3
733,tm3248,Freaks,MOVIE,,62,1932,0.0,7.9
793,tm72527,The Great Dictator,MOVIE,,125,1940,0.0,8.4
824,tm2346,The 39 Steps,MOVIE,,86,1935,0.0,7.6
852,tm8232,The Lady Vanishes,MOVIE,,96,1938,0.0,7.8
875,tm5608,Bicycle Thieves,MOVIE,,88,1948,0.0,8.3
895,tm3293,The Passion of Joan of Arc,MOVIE,,110,1928,0.0,8.2
926,tm52402,City Lights,MOVIE,G,87,1931,0.0,8.5
958,tm87737,Häxan,MOVIE,,105,1922,0.0,7.6
993,tm137798,King Kong,MOVIE,,104,1933,0.0,7.9
1009,tm88256,Black Narcissus,MOVIE,,101,1947,0.0,7.8
1061,tm75346,To Be or Not to Be,MOVIE,G,99,1942,0.0,8.2
1089,tm88077,Great Expectations,MOVIE,,118,1946,0.0,7.8
1127,tm118404,Modern Times,MOVIE,G,87,1936,0.0,8.5
1163,tm117703,The Life and Death of Colonel Blimp,MOVIE,,163,1943,0.0,8.1
1182,tm15621,Brief Encounter,MOVIE,,86,1945,0.0,8.0
1210,tm2234,42nd Street,MOVIE,,89,1933,0.0,7.3
1238,tm72662,"Now, Voyager",MOVIE,,117,1942,0.0,7.9
1274,tm45031,The Public Enemy,MOVIE,,84,1931,0.0,7.6
1286,tm2838,The Most Dangerous Game,MOVIE,,63,1932,0.0,7.1
1298,tm3805,Vampyr,MOVIE,,74,1932,0.0,7.4
1329,tm61524,Late Spring,MOVIE,,110,1949,0.0,8.2
1397,tm61720,Adam's Rib,MOVIE,,100,1949,0.0,7.5
1429,tm100058,The Man Who Knew Too Much,MOVIE,,76,1934,0.0,6.8
