,id,title,type,age_certification,runtime,release_year,seasons,imdb_score,imdb_votes
81,tm147043,The Lorax,MOVIE,PG,25,1972,0.0,7.9,2932.0
95,tm1236,A Boy Named Charlie Brown,MOVIE,G,86,1969,0.0,7.3,5001.0
107,tm156894,"Snoopy, Come Home",MOVIE,G,81,1972,0.0,7.4,4665.0
115,tm11186,The Cat in the Hat,MOVIE,,25,1971,0.0,7.3,1921.0
120,tm189299,Dr. Seuss on the Loose,MOVIE,,25,1973,0.0,7.7,632.0
154,tm19438,The Princess Bride,MOVIE,PG,99,1987,0.0,8.0,420521.0
174,tm123377,The Breakfast Club,MOVIE,R,98,1985,0.0,7.8,385471.0
243,tm153016,Pretty Woman,MOVIE,R,119,1990,0.0,7.1,316085.0
261,tm44887,Akira,MOVIE,R,124,1988,0.0,8.0,181098.0
344,tm180542,Once Upon a Time in America,MOVIE,R,229,1984,0.0,8.3,342335.0
426,tm120571,Peggy Sue Got Married,MOVIE,PG-13,99,1986,0.0,6.4,37182.0
469,tm126876,St. Elmo's Fire,MOVIE,R,110,1985,0.0,6.3,41463.0
506,tm20951,Can't Buy Me Love,MOVIE,PG-13,94,1987,0.0,6.7,36852.0
550,tm20552,Roxanne,MOVIE,PG,107,1987,0.0,6.6,44752.0
638,tm140986,Look Who's Talking,MOVIE,PG-13,93,1989,0.0,5.9,82009.0
650,ts20738,Ranma ½,SHOW,TV-14,24,1989,7.0,8.2,1508.0
687,tm150087,Postcards From the Edge,MOVIE,R,101,1990,0.0,6.7,17436.0
702,tm19411,Blind Date,MOVIE,PG-13,95,1987,0.0,5.9,22521.0
725,tm116666,Tough Guys,MOVIE,PG,104,1986,0.0,6.2,7225.0
747,tm150530,Spaced Invaders,MOVIE,PG,100,1990,0.0,5.3,3619.0
779,tm131958,Three Fugitives,MOVIE,PG-13,96,1989,0.0,6.2,11774.0
817,tm51100,A Very Brady Christmas,MOVIE,,100,1988,0.0,5.8,1967.0
881,tm189861,Dazed and Confused,MOVIE,R,102,1993,0.0,7.6,179462.0
995,tm62326,Eyes Wide Shut,MOVIE,R,159,1999,0.0,7.5,329940.0
1041,tm191327,Demolition Man,MOVIE,R,115,1993,0.0,6.7,172362.0
1132,tm8726,Billy Madison,MOVIE,PG-13,90,1995,0.0,6.3,141905.0
1194,tm130465,White Men Can't Jump,MOVIE,R,115,1992,0.0,6.8,84776.0
1290,tm192099,L.A. Confidential,MOVIE,R,138,1997,0.0,8.3,570894.0
1355,tm192037,Starship Troopers,MOVIE,R,129,1997,0.0,7.3,288960.0
1436,tm49114,The Insider,MOVIE,R,157,1999,0.0,7.8,168179.0
1463,tm20441,"Dude, Where's My Car?",MOVIE,PG-13,83,2000,0.0,5.5,139065.0
1510,tm15925,Sense and Sensibility,MOVIE,PG,136,1995,0.0,7.7,113535.0
1553,tm49829,Pleasantville,MOVIE,PG-13,124,1998,0.0,7.5,127913.0
1628,tm192469,My Best Friend's Wedding,MOVIE,PG-13,105,1997,0.0,6.3,140200.0
1680,tm63325,8MM,MOVIE,R,123,1999,0.0,6.5,131975.0
1702,tm61517,Practical Magic,MOVIE,PG-13,104,1998,0.0,6.2,80376.0
1720,ts28078,Yu Yu Hakusho,SHOW,TV-14,23,1992,5.0,8.4,13046.0
