,id,Netflix,Hulu,HBO,title,type,age_certification,runtime,name,role,release_year,seasons,imdb_score
0,tm84618,1.0,0.0,0.0,Taxi Driver,MOVIE,R,114,Martin Scorsese,DIRECTOR,1976,0.0,8.2
1,tm154986,1.0,0.0,0.0,Deliverance,MOVIE,R,109,John Boorman,DIRECTOR,1972,0.0,7.7
2,tm127384,1.0,0.0,0.0,Monty Python and the Holy Grail,MOVIE,PG,91,Terry Jones,DIRECTOR,1975,0.0,8.2
3,tm127384,1.0,0.0,0.0,Monty Python and the Holy Grail,MOVIE,PG,91,Terry Gilliam,DIRECTOR,1975,0.0,8.2
4,tm120801,1.0,0.0,0.0,The Dirty Dozen,MOVIE,,150,Robert Aldrich,DIRECTOR,1967,0.0,7.7
5,tm70993,1.0,0.0,0.0,Life of Brian,MOVIE,R,94,Terry Jones,DIRECTOR,1979,0.0,8.0
6,tm14873,1.0,0.0,0.0,Dirty Harry,MOVIE,R,102,Don Siegel,DIRECTOR,1971,0.0,7.7
7,tm119281,1.0,0.0,0.0,Bonnie and Clyde,MOVIE,R,110,Arthur Penn,DIRECTOR,1967,0.0,7.7
8,tm98978,1.0,0.0,0.0,The Blue Lagoon,MOVIE,R,104,Randal Kleiser,DIRECTOR,1980,0.0,5.8
9,tm44204,1.0,0.0,0.0,The Guns of Navarone,MOVIE,,158,J. Lee Thompson,DIRECTOR,1961,0.0,7.5
10,tm67378,1.0,0.0,0.0,The Professionals,MOVIE,PG-13,117,Richard Brooks,DIRECTOR,1966,0.0,7.3
11,tm69997,1.0,0.0,0.0,Richard Pryor: Live in Concert,MOVIE,R,78,Jeff Margolis,DIRECTOR,1979,0.0,8.1
12,tm16479,1.0,0.0,0.0,White Christmas,MOVIE,,115,Michael Curtiz,DIRECTOR,1954,0.0,7.5
13,tm135083,1.0,0.0,0.0,Cairo Station,MOVIE,,77,Youssef Chahine,DIRECTOR,1958,0.0,7.5
14,tm89386,1.0,0.0,0.0,Hitler: A Career,MOVIE,PG,150,Joachim Fest,DIRECTOR,1977,0.0,7.5
15,tm156453,1.0,0.0,0.0,FTA,MOVIE,R,97,Francine Parker,DIRECTOR,1972,0.0,6.2
16,tm14350,1.0,0.0,0.0,Alexandria… Why?,MOVIE,,133,Youssef Chahine,DIRECTOR,1979,0.0,7.2
17,tm81728,1.0,0.0,0.0,The Land,MOVIE,,129,Youssef Chahine,DIRECTOR,1969,0.0,8.1
18,tm94651,1.0,0.0,0.0,Dostana,MOVIE,,161,Raj Khosla,DIRECTOR,1980,0.0,2.1
19,tm27298,1.0,0.0,0.0,Saladin the Victorious,MOVIE,,186,Youssef Chahine,DIRECTOR,1963,0.0,7.6
20,tm100027,1.0,0.0,0.0,Alibaba Aur 40 Chor,MOVIE,,146,Umesh Mehra,DIRECTOR,1979,0.0,6.2
21,tm100027,1.0,0.0,0.0,Alibaba Aur 40 Chor,MOVIE,,146,Latif Faiziyev,DIRECTOR,1979,0.0,6.2
22,tm19608,1.0,0.0,0.0,The Blazing Sun,MOVIE,,100,Youssef Chahine,DIRECTOR,1954,0.0,7.4
23,tm204541,1.0,0.0,0.0,Dark Waters,MOVIE,,120,Youssef Chahine,DIRECTOR,1956,0.0,6.7
24,tm259855,1.0,0.0,0.0,We Are All for the Fatherland,MOVIE,,74,Maroun Bagdadi,DIRECTOR,1979,0.0,6.1
25,tm356209,1.0,0.0,0.0,Singapore,MOVIE,,158,Shakti Samanta,DIRECTOR,1960,0.0,6.4
27,tm200475,1.0,0.0,0.0,"Beirut, Oh Beirut",MOVIE,,110,Maroun Bagdadi,DIRECTOR,1975,0.0,6.4
28,tm90896,1.0,0.0,0.0,The Return of the Prodigal Son,MOVIE,,124,Youssef Chahine,DIRECTOR,1976,0.0,7.2
29,tm336403,1.0,0.0,0.0,Khoon Khoon,MOVIE,,131,Mohammed Hussain,DIRECTOR,1973,0.0,5.1
30,tm107372,1.0,0.0,0.0,Manoranjan,MOVIE,,162,Suhail Tatari,DIRECTOR,1974,0.0,6.5
31,tm259684,1.0,0.0,0.0,Whispers,MOVIE,,93,Maroun Bagdadi,DIRECTOR,1980,0.0,7.8
32,tm403346,1.0,0.0,0.0,Chadi Jawani Budhe Nu,MOVIE,,135,A. Salaam,DIRECTOR,1976,0.0,4.6
33,tm16812,1.0,0.0,0.0,Bandie,MOVIE,,141,Alo Sarkar,DIRECTOR,1978,0.0,4.4
34,tm155787,1.0,0.0,0.0,GoodFellas,MOVIE,R,145,Martin Scorsese,DIRECTOR,1990,0.0,8.7
35,tm22327,1.0,0.0,0.0,Full Metal Jacket,MOVIE,R,117,Stanley Kubrick,DIRECTOR,1987,0.0,8.3
36,tm180542,1.0,0.0,0.0,Once Upon a Time in America,MOVIE,R,139,Sergio Leone,DIRECTOR,1984,0.0,8.3
37,tm138875,1.0,0.0,0.0,When Harry Met Sally...,MOVIE,R,96,Rob Reiner,DIRECTOR,1989,0.0,7.7
38,tm2386,1.0,0.0,0.0,A Nightmare on Elm Street,MOVIE,R,91,Wes Craven,DIRECTOR,1984,0.0,7.4
39,tm133087,1.0,0.0,0.0,Steel Magnolias,MOVIE,PG,119,Herbert Ross,DIRECTOR,1989,0.0,7.3
40,tm177480,1.0,0.0,0.0,Police Academy,MOVIE,R,97,Hugh Wilson,DIRECTOR,1984,0.0,6.7
41,tm54450,1.0,0.0,0.0,Christine,MOVIE,R,110,John Carpenter,DIRECTOR,1983,0.0,6.7
42,tm145608,1.0,0.0,0.0,Awakenings,MOVIE,PG-13,120,Penny Marshall,DIRECTOR,1990,0.0,7.8
43,tm147710,1.0,0.0,0.0,National Lampoon's Christmas Vacation,MOVIE,PG-13,97,Jeremiah S. Chechik,DIRECTOR,1989,0.0,7.5
44,tm142895,1.0,0.0,0.0,Lean On Me,MOVIE,PG-13,105,John G. Avildsen,DIRECTOR,1989,0.0,7.4
45,tm20712,1.0,0.0,0.0,Eddie Murphy Raw,MOVIE,R,90,Robert Townsend,DIRECTOR,1987,0.0,7.6
46,tm117580,1.0,0.0,0.0,She's Gotta Have It,MOVIE,R,84,Spike Lee,DIRECTOR,1986,0.0,6.7
47,tm130586,1.0,0.0,0.0,Endless Love,MOVIE,R,116,Franco Zeffirelli,DIRECTOR,1981,0.0,4.9
48,tm721687,1.0,0.0,0.0,Vaashi,MOVIE,,123,Vishnu Raghav,DIRECTOR,1983,0.0,6.7
49,tm40103,1.0,0.0,0.0,Mobile Suit Gundam: Char's Counterattack,MOVIE,,119,Yoshiyuki Tomino,DIRECTOR,1988,0.0,7.3
50,tm125985,1.0,0.0,0.0,Mobile Suit Gundam II: Soldiers of Sorrow,MOVIE,,133,Yoshiyuki Tomino,DIRECTOR,1981,0.0,7.2
52,tm21953,1.0,0.0,0.0,Sam Kinison: Breaking the Rules,MOVIE,R,50,Walter C. Miller,DIRECTOR,1987,0.0,7.2
53,tm126769,1.0,0.0,0.0,Waiting for the Hearse,MOVIE,,87,Alejandro Doria,DIRECTOR,1985,0.0,8.0
54,tm152839,1.0,0.0,0.0,Tim Allen: Men Are Pigs,MOVIE,,30,Ellen Brown,DIRECTOR,1990,0.0,6.1
55,tm49037,1.0,0.0,0.0,Mobile Suit Gundam III: Encounters in Space,MOVIE,,144,Yoshiyuki Tomino,DIRECTOR,1982,0.0,7.6
56,tm62924,1.0,0.0,0.0,Monty Python Live at the Hollywood Bowl,MOVIE,R,81,Terry Hughes,DIRECTOR,1982,0.0,7.9
57,tm62924,1.0,0.0,0.0,Monty Python Live at the Hollywood Bowl,MOVIE,R,81,Ian MacNaughton,DIRECTOR,1982,0.0,7.9
58,tm52815,1.0,0.0,0.0,Disco Dancer,MOVIE,,106,Babbar Subhash,DIRECTOR,1982,0.0,6.4
59,tm159912,1.0,0.0,0.0,Agneepath,MOVIE,,174,Mukul Anand,DIRECTOR,1990,0.0,7.6
60,tm133914,1.0,0.0,0.0,Parrot Sketch Not Included: Twenty Years of Monty Python,MOVIE,,72,Ian MacNaughton,DIRECTOR,1989,0.0,8.1
61,tm38736,1.0,0.0,0.0,Too Young The Hero,MOVIE,,100,Buzz Kulik,DIRECTOR,1988,0.0,6.7
62,tm51083,1.0,0.0,0.0,A Stoning in Fulham County,MOVIE,,120,Larry Elikann,DIRECTOR,1988,0.0,5.9
63,tm137013,1.0,0.0,0.0,The Ryan White Story,MOVIE,,102,John Herzfeld,DIRECTOR,1989,0.0,7.2
64,tm157603,1.0,0.0,0.0,Dil,MOVIE,,172,Indra Kumar,DIRECTOR,1990,0.0,6.6
65,tm258072,1.0,0.0,0.0,Adam: His Song Continues,MOVIE,,100,Robert Markowitz,DIRECTOR,1986,0.0,7.0
66,tm114356,1.0,0.0,0.0,The George McKenna Story,MOVIE,,100,Eric Laneuville,DIRECTOR,1988,0.0,6.0
67,tm157853,1.0,0.0,0.0,In Defense of a Married Man,MOVIE,,94,Joel Oliansky,DIRECTOR,1990,0.0,5.6
68,tm446654,1.0,0.0,0.0,Mujrim,MOVIE,,162,Umesh Mehra,DIRECTOR,1989,0.0,5.4
69,tm348735,1.0,0.0,0.0,Aakhri Adaalat,MOVIE,,148,Rajiv Mehra,DIRECTOR,1988,0.0,5.1
70,tm151332,1.0,0.0,0.0,"Alexandria, Again and Forever",MOVIE,,105,Youssef Chahine,DIRECTOR,1989,0.0,6.5
71,tm342996,1.0,0.0,0.0,Duniya,MOVIE,,170,Ramesh Talwar,DIRECTOR,1984,0.0,6.3
72,tm24110,1.0,0.0,0.0,Strange Voices,MOVIE,,100,Arthur Allan Seidelman,DIRECTOR,1987,0.0,6.3
73,tm371359,1.0,0.0,0.0,Jaal,MOVIE,,159,Umesh Mehra,DIRECTOR,1986,0.0,5.2
74,tm55091,1.0,0.0,0.0,Quiet Victory: The Charlie Wedemeyer Story,MOVIE,,100,Roy Campanella II,DIRECTOR,1988,0.0,7.2
75,tm311264,1.0,0.0,0.0,Muqaddar Ka Faisla,MOVIE,,172,Prakash Mehra,DIRECTOR,1987,0.0,4.8
76,tm411457,1.0,0.0,0.0,Pyar Ke Do Pal,MOVIE,,125,Rajiv Mehra,DIRECTOR,1986,0.0,6.1
77,tm172482,1.0,0.0,0.0,Sohni Mahiwal,MOVIE,,160,Latif Faiziyev,DIRECTOR,1984,0.0,6.1
78,tm172482,1.0,0.0,0.0,Sohni Mahiwal,MOVIE,,160,Umesh Mehra,DIRECTOR,1984,0.0,6.1
79,tm419052,1.0,0.0,0.0,Ek Jaan Hain Hum,MOVIE,,151,Rajiv Mehra,DIRECTOR,1983,0.0,6.3
80,tm47673,1.0,0.0,0.0,An Egyptian Story,MOVIE,,129,Youssef Chahine,DIRECTOR,1982,0.0,7.3
