,id,title,type,age_certification,runtime,release_year,seasons,imdb_score
36,tm84618,Taxi Driver,MOVIE,R,114,1976,0.0,8.2
59,tm154986,Deliverance,MOVIE,R,109,1972,0.0,7.7
106,tm127384,Monty Python and the Holy Grail,MOVIE,PG,91,1975,0.0,8.2
162,tm120801,The Dirty Dozen,MOVIE,,150,1967,0.0,7.7
189,tm70993,Life of Brian,MOVIE,R,94,1979,0.0,8.0
247,tm14873,Dirty Harry,MOVIE,R,102,1971,0.0,7.7
264,tm119281,Bonnie and Clyde,MOVIE,R,110,1967,0.0,7.7
278,tm98978,The Blue Lagoon,MOVIE,R,104,1980,0.0,5.8
302,tm44204,The Guns of Navarone,MOVIE,,158,1961,0.0,7.5
328,tm67378,The Professionals,MOVIE,PG-13,117,1966,0.0,7.3
331,tm69997,Richard Pryor: Live in Concert,MOVIE,R,78,1979,0.0,8.1
356,tm16479,White Christmas,MOVIE,,115,1954,0.0,7.5
385,tm135083,Cairo Station,MOVIE,,77,1958,0.0,7.5
387,tm89386,Hitler: A Career,MOVIE,PG,150,1977,0.0,7.5
398,tm156453,FTA,MOVIE,R,97,1972,0.0,6.2
425,tm14350,Alexandria… Why?,MOVIE,,133,1979,0.0,7.2
440,tm81728,The Land,MOVIE,,129,1969,0.0,8.1
460,tm94651,Dostana,MOVIE,,161,1980,0.0,2.1
479,tm27298,Saladin the Victorious,MOVIE,,186,1963,0.0,7.6
489,tm100027,Alibaba Aur 40 Chor,MOVIE,,146,1979,0.0,6.2
500,tm19608,The Blazing Sun,MOVIE,,100,1954,0.0,7.4
507,tm204541,Dark Waters,MOVIE,,120,1956,0.0,6.7
508,tm259855,We Are All for the Fatherland,MOVIE,,74,1979,0.0,6.1
514,tm356209,Singapore,MOVIE,,158,1960,0.0,6.4
520,ts45948,Monty Python's Fliegender Zirkus,SHOW,TV-MA,43,1972,1.0,8.1
526,tm200475,"Beirut, Oh Beirut",MOVIE,,110,1975,0.0,6.4
538,tm90896,The Return of the Prodigal Son,MOVIE,,124,1976,0.0,7.2
549,tm336403,Khoon Khoon,MOVIE,,131,1973,0.0,5.1
550,tm107372,Manoranjan,MOVIE,,162,1974,0.0,6.5
561,tm259684,Whispers,MOVIE,,93,1980,0.0,7.8
562,tm403346,Chadi Jawani Budhe Nu,MOVIE,,135,1976,0.0,4.6
566,tm16812,Bandie,MOVIE,,141,1978,0.0,4.4
706,tm155787,GoodFellas,MOVIE,R,145,1990,0.0,8.7
748,tm22327,Full Metal Jacket,MOVIE,R,117,1987,0.0,8.3
832,tm180542,Once Upon a Time in America,MOVIE,R,139,1984,0.0,8.3
874,tm138875,When Harry Met Sally...,MOVIE,R,96,1989,0.0,7.7
905,tm2386,A Nightmare on Elm Street,MOVIE,R,91,1984,0.0,7.4
951,tm133087,Steel Magnolias,MOVIE,PG,119,1989,0.0,7.3
1002,tm177480,Police Academy,MOVIE,R,97,1984,0.0,6.7
1026,tm54450,Christine,MOVIE,R,110,1983,0.0,6.7
1098,tm145608,Awakenings,MOVIE,PG-13,120,1990,0.0,7.8
1131,tm147710,National Lampoon's Christmas Vacation,MOVIE,PG-13,97,1989,0.0,7.5
1156,tm142895,Lean On Me,MOVIE,PG-13,105,1989,0.0,7.4
1173,tm20712,Eddie Murphy Raw,MOVIE,R,90,1987,0.0,7.6
1201,tm117580,She's Gotta Have It,MOVIE,R,84,1986,0.0,6.7
1225,tm130586,Endless Love,MOVIE,R,116,1981,0.0,4.9
1243,tm721687,Vaashi,MOVIE,,123,1983,0.0,6.7
1257,tm40103,Mobile Suit Gundam: Char's Counterattack,MOVIE,,119,1988,0.0,7.3
1272,tm125985,Mobile Suit Gundam II: Soldiers of Sorrow,MOVIE,,133,1981,0.0,7.2
1283,ts2760,Fireman Sam,SHOW,TV-Y,10,1987,13.0,6.1
1288,tm21953,Sam Kinison: Breaking the Rules,MOVIE,R,50,1987,0.0,7.2
1307,tm126769,Waiting for the Hearse,MOVIE,,87,1985,0.0,8.0
1309,tm152839,Tim Allen: Men Are Pigs,MOVIE,,30,1990,0.0,6.1
1325,tm49037,Mobile Suit Gundam III: Encounters in Space,MOVIE,,144,1982,0.0,7.6
1334,tm62924,Monty Python Live at the Hollywood Bowl,MOVIE,R,81,1982,0.0,7.9
1362,tm52815,Disco Dancer,MOVIE,,106,1982,0.0,6.4
1379,tm159912,Agneepath,MOVIE,,174,1990,0.0,7.6
1387,tm133914,Parrot Sketch Not Included: Twenty Years of Monty Python,MOVIE,,72,1989,0.0,8.1
1392,tm38736,Too Young The Hero,MOVIE,,100,1988,0.0,6.7
1405,tm51083,A Stoning in Fulham County,MOVIE,,120,1988,0.0,5.9
1421,tm137013,The Ryan White Story,MOVIE,,102,1989,0.0,7.2
1430,tm157603,Dil,MOVIE,,172,1990,0.0,6.6
1438,tm258072,Adam: His Song Continues,MOVIE,,100,1986,0.0,7.0
1454,tm114356,The George McKenna Story,MOVIE,,100,1988,0.0,6.0
1477,tm157853,In Defense of a Married Man,MOVIE,,94,1990,0.0,5.6
1492,tm446654,Mujrim,MOVIE,,162,1989,0.0,5.4
1510,tm348735,Aakhri Adaalat,MOVIE,,148,1988,0.0,5.1
1533,tm151332,"Alexandria, Again and Forever",MOVIE,,105,1989,0.0,6.5
1543,tm342996,Duniya,MOVIE,,170,1984,0.0,6.3
1572,tm24110,Strange Voices,MOVIE,,100,1987,0.0,6.3
1595,tm371359,Jaal,MOVIE,,159,1986,0.0,5.2
1612,tm55091,Quiet Victory: The Charlie Wedemeyer Story,MOVIE,,100,1988,0.0,7.2
1619,tm311264,Muqaddar Ka Faisla,MOVIE,,172,1987,0.0,4.8
1627,tm411457,Pyar Ke Do Pal,MOVIE,,125,1986,0.0,6.1
1636,tm172482,Sohni Mahiwal,MOVIE,,160,1984,0.0,6.1
1638,tm419052,Ek Jaan Hain Hum,MOVIE,,151,1983,0.0,6.3
1646,tm47673,An Egyptian Story,MOVIE,,129,1982,0.0,7.3
1652,tm52274,The Little Wars,MOVIE,,108,1982,0.0,6.3
1663,tm147829,Unspeakable Acts,MOVIE,,100,1990,0.0,6.1
1719,tm107744,Mission: Impossible,MOVIE,PG-13,110,1996,0.0,7.1
1775,tm15897,Se7en,MOVIE,R,127,1995,0.0,8.6
1875,tm191013,Boogie Nights,MOVIE,R,156,1997,0.0,7.9
1954,tm122434,Forrest Gump,MOVIE,PG-13,142,1994,0.0,8.8
2010,tm25947,Snatch,MOVIE,R,103,2000,0.0,8.3
2075,tm43808,The Talented Mr. Ripley,MOVIE,R,139,1999,0.0,7.4
2205,tm191110,Titanic,MOVIE,PG-13,194,1997,0.0,7.9
2264,tm192037,Starship Troopers,MOVIE,R,129,1997,0.0,7.3
2309,tm27395,Mission: Impossible II,MOVIE,PG-13,123,2000,0.0,6.1
2391,tm113513,Dumb and Dumber,MOVIE,PG-13,107,1994,0.0,7.3
2431,tm192405,Gattaca,MOVIE,PG-13,106,1997,0.0,7.8
2486,tm116655,Léon: The Professional,MOVIE,R,111,1994,0.0,8.5
2549,tm116488,Natural Born Killers,MOVIE,R,118,1994,0.0,7.3
2587,tm11556,The Quick and the Dead,MOVIE,R,107,1995,0.0,6.5
2641,tm56574,You've Got Mail,MOVIE,PG,119,1998,0.0,6.7
2676,tm53991,Big Daddy,MOVIE,PG-13,93,1999,0.0,6.4
2698,tm49178,Vampires,MOVIE,R,104,1998,0.0,6.1
2776,tm191989,Donnie Brasco,MOVIE,R,127,1997,0.0,7.7
2791,ts21034,InuYasha,SHOW,TV-14,25,2000,9.0,7.9
2806,tm121879,A River Runs Through It,MOVIE,PG,123,1992,0.0,7.2
2829,tm44402,"Girl, Interrupted",MOVIE,R,127,1999,0.0,7.3
2892,tm187187,Last Action Hero,MOVIE,PG-13,131,1993,0.0,6.4
2922,tm6859,My Girl,MOVIE,PG,103,1991,0.0,6.9
2969,tm118238,Wyatt Earp,MOVIE,PG-13,191,1994,0.0,6.7
3041,tm111163,Eraser,MOVIE,R,115,1996,0.0,6.1
3054,tm190835,Neon Genesis Evangelion: The End of Evangelion,MOVIE,,87,1997,0.0,8.0
3082,tm192769,Vegas Vacation,MOVIE,PG,94,1997,0.0,5.9
3135,tm187791,In the Line of Fire,MOVIE,R,128,1993,0.0,7.2
3150,tm113576,Little Women,MOVIE,PG,115,1994,0.0,7.3
3186,tm65686,U.S. Marshals,MOVIE,PG-13,131,1998,0.0,6.5
3211,tm191387,Anaconda,MOVIE,PG-13,89,1997,0.0,4.8
3247,tm19494,The Replacements,MOVIE,PG-13,118,2000,0.0,6.6
3290,tm191772,Seven Years in Tibet,MOVIE,PG-13,136,1997,0.0,7.1
3342,tm12499,The Net,MOVIE,PG-13,114,1995,0.0,5.9
3367,tm186589,Cliffhanger,MOVIE,R,112,1993,0.0,6.5
3412,tm189764,Menace II Society,MOVIE,R,97,1993,0.0,7.5
3452,tm10739,Johnny Mnemonic,MOVIE,R,97,1995,0.0,5.6
3501,tm1822,3 Ninjas Kick Back,MOVIE,PG,93,1994,0.0,4.5
3541,tm55369,Edge of Seventeen,MOVIE,R,104,1998,0.0,6.8
3587,tm192431,The Devil's Own,MOVIE,R,107,1997,0.0,6.2
3618,tm192199,Spawn,MOVIE,PG-13,96,1997,0.0,5.2
3638,tm56033,Croupier,MOVIE,R,94,1998,0.0,7.0
3686,tm117488,The Next Karate Kid,MOVIE,PG,107,1994,0.0,4.5
3718,tm190811,Geronimo: An American Legend,MOVIE,PG-13,115,1993,0.0,6.5
3762,tm191431,Double Team,MOVIE,R,93,1997,0.0,4.8
3777,tm10811,Heavy,MOVIE,R,105,1995,0.0,6.8
3819,tm49839,The Players Club,MOVIE,R,104,1998,0.0,5.9
3857,tm67635,Kuch Kuch Hota Hai,MOVIE,G,185,1998,0.0,7.6
3859,tm320211,Children of God,MOVIE,,63,1994,0.0,6.3
3875,tm7073,Knight Rider 2000,MOVIE,G,91,1991,0.0,4.5
3884,ts28516,Okupas,SHOW,TV-MA,40,2000,1.0,9.0
3900,tm117873,Hum Aapke Hain Koun..!,MOVIE,,206,1994,0.0,7.5
3938,tm55100,Dil Se..,MOVIE,PG-13,163,1998,0.0,7.5
3952,tm64817,Jerry Seinfeld: I'm Telling You for the Last Time,MOVIE,G,75,1998,0.0,7.9
3978,tm188606,Sankofa,MOVIE,,124,1993,0.0,7.0
4006,tm41525,Herod's Law,MOVIE,R,123,1999,0.0,7.8
4027,tm189171,Wild Tango,MOVIE,R,124,1993,0.0,6.7
4034,tm63514,The Last Days,MOVIE,PG-13,87,1998,0.0,7.9
4037,tm188970,Bill Hicks: Revelations,MOVIE,,74,1993,0.0,8.5
4051,tm12876,Bombay,MOVIE,,141,1995,0.0,8.1
4075,tm62176,Mann,MOVIE,,174,1999,0.0,6.1
4090,tm52871,Soldier,MOVIE,,156,1998,0.0,6.2
4104,tm104933,Sinbad: Son of a Preacher Man,MOVIE,,56,1996,0.0,6.8
4115,tm184326,Damini,MOVIE,,175,1993,0.0,7.8
4142,tm62385,Hum Saath Saath Hain,MOVIE,G,177,1999,0.0,6.2
4154,tm110766,Chronicle of a Disappearance,MOVIE,,88,1996,0.0,6.9
4172,tm9898,Muthu,MOVIE,G,165,1995,0.0,7.6
4185,tm47530,Jeans,MOVIE,,175,1998,0.0,6.4
4200,tm57169,Monty Python: Live at Aspen,MOVIE,,58,1998,0.0,7.8
4218,tm192301,Minsara Kanavu,MOVIE,G,145,1997,0.0,6.7
4229,tm58893,Duplicate,MOVIE,PG,165,1998,0.0,5.5
4251,tm110160,Avvai Shanmugi,MOVIE,PG-13,160,1996,0.0,7.9
4262,tm118438,Anjaam,MOVIE,,137,1994,0.0,6.6
