,id,Netflix,Hulu,HBO,title,type,age_certification,runtime,name,role,release_year,seasons,imdb_score,imdb_votes
26,ts45948,1.0,0.0,0.0,Monty Python's Fliegender Zirkus,SHOW,TV-MA,43,Ian MacNaughton,DIRECTOR,1972,1.0,8.1,2151.0
51,ts2760,1.0,0.0,0.0,Fireman Sam,SHOW,TV-Y,10,Gary Andrews,DIRECTOR,1987,13.0,6.1,1785.0
101,ts21034,1.0,0.0,0.0,InuYasha,SHOW,TV-14,25,Yasunao Aoki,DIRECTOR,2000,9.0,7.9,15823.0
102,ts21034,1.0,0.0,0.0,InuYasha,SHOW,TV-14,25,Masashi Ikeda,DIRECTOR,2000,9.0,7.9,15823.0
136,ts28516,1.0,0.0,0.0,Okupas,SHOW,TV-MA,40,Bruno Stagnaro,DIRECTOR,2000,1.0,9.0,2399.0
183,ts26091,1.0,0.0,0.0,The Staircase,SHOW,TV-MA,49,Jean-Xavier de Lestrade,DIRECTOR,2004,2.0,7.8,21531.0
190,ts20305,1.0,0.0,0.0,Naruto,SHOW,TV-PG,23,Hayato Date,DIRECTOR,2002,6.0,8.4,96729.0
233,ts15986,1.0,0.0,0.0,Dead Set,SHOW,TV-MA,141,Yann Demange,DIRECTOR,2008,1.0,7.6,19812.0
237,ts30356,1.0,0.0,0.0,Octonauts,SHOW,TV-Y,15,Blair Simmons,DIRECTOR,2010,7.0,7.6,1083.0
238,ts30356,1.0,0.0,0.0,Octonauts,SHOW,TV-Y,15,블레어 시몬스,DIRECTOR,2010,7.0,7.6,1083.0
276,ts20544,1.0,0.0,0.0,Ouran High School Host Club,SHOW,TV-14,23,Takuya Igarashi,DIRECTOR,2006,1.0,8.2,9929.0
278,ts30288,1.0,0.0,0.0,Mobile Suit Gundam Unicorn,SHOW,TV-14,36,Kazuhiro Furuhashi,DIRECTOR,2010,2.0,7.8,1291.0
279,ts38159,1.0,0.0,0.0,Wakfu,SHOW,TV-Y7,22,Fabrice Nzinzi,DIRECTOR,2008,3.0,8.1,1497.0
282,ts21688,1.0,0.0,0.0,Boys Over Flowers,SHOW,TV-14,64,Jun Ki Sang,DIRECTOR,2009,1.0,7.9,11902.0
287,ts12701,1.0,0.0,0.0,Code Lyoko,SHOW,TV-G,24,Jérome Mouscadet,DIRECTOR,2003,5.0,7.3,5165.0
290,ts27459,1.0,0.0,0.0,The Legend of Bruce Lee,SHOW,,45,Li Wen Qi,DIRECTOR,2008,1.0,7.0,1422.0
