,id,title,type,age_certification,runtime,genres,release_year,seasons,imdb_score,imdb_votes,production_countries
0,ts20475,Saturday Night Live,SHOW,TV-14,89,"['music', 'comedy']",1975,47.0,8.0,47910.0,['US']
1,ts20475,Saturday Night Live,SHOW,TV-14,89,"['music', 'comedy']",1975,47.0,8.0,47910.0,['US']
2,ts20475,Saturday Night Live,SHOW,TV-14,89,"['music', 'comedy']",1975,47.0,8.0,47910.0,['US']
3,ts20475,Saturday Night Live,SHOW,TV-14,89,"['music', 'comedy']",1975,47.0,8.0,47910.0,['US']
4,ts20475,Saturday Night Live,SHOW,TV-14,89,"['music', 'comedy']",1975,47.0,8.0,47910.0,['US']
5,ts20475,Saturday Night Live,SHOW,TV-14,89,"['music', 'comedy']",1975,47.0,8.0,47910.0,['US']
6,ts20475,Saturday Night Live,SHOW,TV-14,89,"['music', 'comedy']",1975,47.0,8.0,47910.0,['US']
7,ts20475,Saturday Night Live,SHOW,TV-14,89,"['music', 'comedy']",1975,47.0,8.0,47910.0,['US']
8,ts20475,Saturday Night Live,SHOW,TV-14,89,"['music', 'comedy']",1975,47.0,8.0,47910.0,['US']
9,ts20475,Saturday Night Live,SHOW,TV-14,89,"['music', 'comedy']",1975,47.0,8.0,47910.0,['US']
10,ts20475,Saturday Night Live,SHOW,TV-14,89,"['music', 'comedy']",1975,47.0,8.0,47910.0,['US']
11,ts20475,Saturday Night Live,SHOW,TV-14,89,"['music', 'comedy']",1975,47.0,8.0,47910.0,['US']
12,ts20475,Saturday Night Live,SHOW,TV-14,89,"['music', 'comedy']",1975,47.0,8.0,47910.0,['US']
13,ts20475,Saturday Night Live,SHOW,TV-14,89,"['music', 'comedy']",1975,47.0,8.0,47910.0,['US']
14,ts20475,Saturday Night Live,SHOW,TV-14,89,"['music', 'comedy']",1975,47.0,8.0,47910.0,['US']
15,ts20475,Saturday Night Live,SHOW,TV-14,89,"['music', 'comedy']",1975,47.0,8.0,47910.0,['US']
16,ts20475,Saturday Night Live,SHOW,TV-14,89,"['music', 'comedy']",1975,47.0,8.0,47910.0,['US']
17,ts20475,Saturday Night Live,SHOW,TV-14,89,"['music', 'comedy']",1975,47.0,8.0,47910.0,['US']
18,ts20475,Saturday Night Live,SHOW,TV-14,89,"['music', 'comedy']",1975,47.0,8.0,47910.0,['US']
19,ts20475,Saturday Night Live,SHOW,TV-14,89,"['music', 'comedy']",1975,47.0,8.0,47910.0,['US']
20,ts20475,Saturday Night Live,SHOW,TV-14,89,"['music', 'comedy']",1975,47.0,8.0,47910.0,['US']
21,ts20413,M*A*S*H,SHOW,TV-PG,26,"['war', 'comedy', 'drama']",1972,11.0,8.4,55882.0,['US']
22,ts20413,M*A*S*H,SHOW,TV-PG,26,"['war', 'comedy', 'drama']",1972,11.0,8.4,55882.0,['US']
23,ts20413,M*A*S*H,SHOW,TV-PG,26,"['war', 'comedy', 'drama']",1972,11.0,8.4,55882.0,['US']
24,ts20413,M*A*S*H,SHOW,TV-PG,26,"['war', 'comedy', 'drama']",1972,11.0,8.4,55882.0,['US']
25,ts20413,M*A*S*H,SHOW,TV-PG,26,"['war', 'comedy', 'drama']",1972,11.0,8.4,55882.0,['US']
26,ts20413,M*A*S*H,SHOW,TV-PG,26,"['war', 'comedy', 'drama']",1972,11.0,8.4,55882.0,['US']
27,ts20413,M*A*S*H,SHOW,TV-PG,26,"['war', 'comedy', 'drama']",1972,11.0,8.4,55882.0,['US']
28,ts20005,I Love Lucy,SHOW,TV-G,30,"['comedy', 'family']",1951,9.0,8.5,25944.0,['US']
29,ts20005,I Love Lucy,SHOW,TV-G,30,"['comedy', 'family']",1951,9.0,8.5,25944.0,['US']
30,ts20005,I Love Lucy,SHOW,TV-G,30,"['comedy', 'family']",1951,9.0,8.5,25944.0,['US']
31,ts20005,I Love Lucy,SHOW,TV-G,30,"['comedy', 'family']",1951,9.0,8.5,25944.0,['US']
32,ts20669,Taxi,SHOW,TV-PG,25,"['drama', 'comedy']",1978,5.0,7.7,13379.0,['US']
33,ts20669,Taxi,SHOW,TV-PG,25,"['drama', 'comedy']",1978,5.0,7.7,13379.0,['US']
34,ts20669,Taxi,SHOW,TV-PG,25,"['drama', 'comedy']",1978,5.0,7.7,13379.0,['US']
35,ts20669,Taxi,SHOW,TV-PG,25,"['drama', 'comedy']",1978,5.0,7.7,13379.0,['US']
36,ts20669,Taxi,SHOW,TV-PG,25,"['drama', 'comedy']",1978,5.0,7.7,13379.0,['US']
37,ts20669,Taxi,SHOW,TV-PG,25,"['drama', 'comedy']",1978,5.0,7.7,13379.0,['US']
38,ts20669,Taxi,SHOW,TV-PG,25,"['drama', 'comedy']",1978,5.0,7.7,13379.0,['US']
39,ts20669,Taxi,SHOW,TV-PG,25,"['drama', 'comedy']",1978,5.0,7.7,13379.0,['US']
40,ts20669,Taxi,SHOW,TV-PG,25,"['drama', 'comedy']",1978,5.0,7.7,13379.0,['US']
48,ts17013,The Brady Bunch,SHOW,TV-G,25,"['comedy', 'family']",1969,5.0,6.7,14080.0,['US']
49,ts17013,The Brady Bunch,SHOW,TV-G,25,"['comedy', 'family']",1969,5.0,6.7,14080.0,['US']
50,ts17013,The Brady Bunch,SHOW,TV-G,25,"['comedy', 'family']",1969,5.0,6.7,14080.0,['US']
51,ts17013,The Brady Bunch,SHOW,TV-G,25,"['comedy', 'family']",1969,5.0,6.7,14080.0,['US']
52,ts17013,The Brady Bunch,SHOW,TV-G,25,"['comedy', 'family']",1969,5.0,6.7,14080.0,['US']
53,ts17013,The Brady Bunch,SHOW,TV-G,25,"['comedy', 'family']",1969,5.0,6.7,14080.0,['US']
54,ts17013,The Brady Bunch,SHOW,TV-G,25,"['comedy', 'family']",1969,5.0,6.7,14080.0,['US']
55,ts17013,The Brady Bunch,SHOW,TV-G,25,"['comedy', 'family']",1969,5.0,6.7,14080.0,['US']
56,ts17013,The Brady Bunch,SHOW,TV-G,25,"['comedy', 'family']",1969,5.0,6.7,14080.0,['US']
57,ts17013,The Brady Bunch,SHOW,TV-G,25,"['comedy', 'family']",1969,5.0,6.7,14080.0,['US']
121,ts21837,Law & Order,SHOW,TV-14,54,"['drama', 'crime', 'thriller']",1990,21.0,7.8,37287.0,['US']
122,ts21837,Law & Order,SHOW,TV-14,54,"['drama', 'crime', 'thriller']",1990,21.0,7.8,37287.0,['US']
123,ts21837,Law & Order,SHOW,TV-14,54,"['drama', 'crime', 'thriller']",1990,21.0,7.8,37287.0,['US']
124,ts21837,Law & Order,SHOW,TV-14,54,"['drama', 'crime', 'thriller']",1990,21.0,7.8,37287.0,['US']
125,ts21837,Law & Order,SHOW,TV-14,54,"['drama', 'crime', 'thriller']",1990,21.0,7.8,37287.0,['US']
126,ts21837,Law & Order,SHOW,TV-14,54,"['drama', 'crime', 'thriller']",1990,21.0,7.8,37287.0,['US']
127,tm19438,The Princess Bride,MOVIE,PG,99,"['fantasy', 'family', 'romance']",1987,0.0,8.0,420521.0,['US']
128,tm19438,The Princess Bride,MOVIE,PG,99,"['fantasy', 'family', 'romance']",1987,0.0,8.0,420521.0,['US']
129,tm19438,The Princess Bride,MOVIE,PG,99,"['fantasy', 'family', 'romance']",1987,0.0,8.0,420521.0,['US']
130,tm19438,The Princess Bride,MOVIE,PG,99,"['fantasy', 'family', 'romance']",1987,0.0,8.0,420521.0,['US']
131,tm19438,The Princess Bride,MOVIE,PG,99,"['fantasy', 'family', 'romance']",1987,0.0,8.0,420521.0,['US']
132,tm19438,The Princess Bride,MOVIE,PG,99,"['fantasy', 'family', 'romance']",1987,0.0,8.0,420521.0,['US']
133,tm19438,The Princess Bride,MOVIE,PG,99,"['fantasy', 'family', 'romance']",1987,0.0,8.0,420521.0,['US']
134,tm19438,The Princess Bride,MOVIE,PG,99,"['fantasy', 'family', 'romance']",1987,0.0,8.0,420521.0,['US']
135,tm19438,The Princess Bride,MOVIE,PG,99,"['fantasy', 'family', 'romance']",1987,0.0,8.0,420521.0,['US']
136,tm19438,The Princess Bride,MOVIE,PG,99,"['fantasy', 'family', 'romance']",1987,0.0,8.0,420521.0,['US']
137,tm19438,The Princess Bride,MOVIE,PG,99,"['fantasy', 'family', 'romance']",1987,0.0,8.0,420521.0,['US']
138,tm19438,The Princess Bride,MOVIE,PG,99,"['fantasy', 'family', 'romance']",1987,0.0,8.0,420521.0,['US']
139,tm19438,The Princess Bride,MOVIE,PG,99,"['fantasy', 'family', 'romance']",1987,0.0,8.0,420521.0,['US']
140,tm19438,The Princess Bride,MOVIE,PG,99,"['fantasy', 'family', 'romance']",1987,0.0,8.0,420521.0,['US']
141,tm19438,The Princess Bride,MOVIE,PG,99,"['fantasy', 'family', 'romance']",1987,0.0,8.0,420521.0,['US']
142,tm19438,The Princess Bride,MOVIE,PG,99,"['fantasy', 'family', 'romance']",1987,0.0,8.0,420521.0,['US']
143,tm19438,The Princess Bride,MOVIE,PG,99,"['fantasy', 'family', 'romance']",1987,0.0,8.0,420521.0,['US']
144,tm19438,The Princess Bride,MOVIE,PG,99,"['fantasy', 'family', 'romance']",1987,0.0,8.0,420521.0,['US']
145,tm19438,The Princess Bride,MOVIE,PG,99,"['fantasy', 'family', 'romance']",1987,0.0,8.0,420521.0,['US']
146,tm19438,The Princess Bride,MOVIE,PG,99,"['fantasy', 'family', 'romance']",1987,0.0,8.0,420521.0,['US']
147,tm19438,The Princess Bride,MOVIE,PG,99,"['fantasy', 'family', 'romance']",1987,0.0,8.0,420521.0,['US']
148,tm19438,The Princess Bride,MOVIE,PG,99,"['fantasy', 'family', 'romance']",1987,0.0,8.0,420521.0,['US']
149,tm19438,The Princess Bride,MOVIE,PG,99,"['fantasy', 'family', 'romance']",1987,0.0,8.0,420521.0,['US']
150,tm19438,The Princess Bride,MOVIE,PG,99,"['fantasy', 'family', 'romance']",1987,0.0,8.0,420521.0,['US']
151,tm19438,The Princess Bride,MOVIE,PG,99,"['fantasy', 'family', 'romance']",1987,0.0,8.0,420521.0,['US']
152,tm19438,The Princess Bride,MOVIE,PG,99,"['fantasy', 'family', 'romance']",1987,0.0,8.0,420521.0,['US']
153,tm19438,The Princess Bride,MOVIE,PG,99,"['fantasy', 'family', 'romance']",1987,0.0,8.0,420521.0,['US']
154,tm19438,The Princess Bride,MOVIE,PG,99,"['fantasy', 'family', 'romance']",1987,0.0,8.0,420521.0,['US']
155,ts20711,The Simpsons,SHOW,TV-14,27,"['animation', 'comedy']",1989,34.0,8.7,394764.0,['US']
156,ts20711,The Simpsons,SHOW,TV-14,27,"['animation', 'comedy']",1989,34.0,8.7,394764.0,['US']
157,ts20711,The Simpsons,SHOW,TV-14,27,"['animation', 'comedy']",1989,34.0,8.7,394764.0,['US']
158,ts20711,The Simpsons,SHOW,TV-14,27,"['animation', 'comedy']",1989,34.0,8.7,394764.0,['US']
159,ts20711,The Simpsons,SHOW,TV-14,27,"['animation', 'comedy']",1989,34.0,8.7,394764.0,['US']
160,ts20711,The Simpsons,SHOW,TV-14,27,"['animation', 'comedy']",1989,34.0,8.7,394764.0,['US']
161,tm123377,The Breakfast Club,MOVIE,R,98,"['drama', 'comedy']",1985,0.0,7.8,385471.0,['US']
162,tm123377,The Breakfast Club,MOVIE,R,98,"['drama', 'comedy']",1985,0.0,7.8,385471.0,['US']
163,tm123377,The Breakfast Club,MOVIE,R,98,"['drama', 'comedy']",1985,0.0,7.8,385471.0,['US']
164,tm123377,The Breakfast Club,MOVIE,R,98,"['drama', 'comedy']",1985,0.0,7.8,385471.0,['US']
165,tm123377,The Breakfast Club,MOVIE,R,98,"['drama', 'comedy']",1985,0.0,7.8,385471.0,['US']
166,tm123377,The Breakfast Club,MOVIE,R,98,"['drama', 'comedy']",1985,0.0,7.8,385471.0,['US']
167,tm123377,The Breakfast Club,MOVIE,R,98,"['drama', 'comedy']",1985,0.0,7.8,385471.0,['US']
168,tm123377,The Breakfast Club,MOVIE,R,98,"['drama', 'comedy']",1985,0.0,7.8,385471.0,['US']
169,tm123377,The Breakfast Club,MOVIE,R,98,"['drama', 'comedy']",1985,0.0,7.8,385471.0,['US']
170,tm123377,The Breakfast Club,MOVIE,R,98,"['drama', 'comedy']",1985,0.0,7.8,385471.0,['US']
171,tm123377,The Breakfast Club,MOVIE,R,98,"['drama', 'comedy']",1985,0.0,7.8,385471.0,['US']
