,id,Netflix,Hulu,HBO,title,type,age_certification,runtime,genres,name,character,role,release_year,seasons,imdb_score,imdb_votes,production_countries
163,ts22164,1.0,0.0,0.0,Monty Python's Flying Circus,SHOW,TV-14,30,"['comedy', 'european']",Graham Chapman,Various,ACTOR,1969,4.0,8.8,73424.0,['GB']
164,ts22164,1.0,0.0,0.0,Monty Python's Flying Circus,SHOW,TV-14,30,"['comedy', 'european']",Michael Palin,"Various / ""It's"" man",ACTOR,1969,4.0,8.8,73424.0,['GB']
165,ts22164,1.0,0.0,0.0,Monty Python's Flying Circus,SHOW,TV-14,30,"['comedy', 'european']",Terry Jones,Various,ACTOR,1969,4.0,8.8,73424.0,['GB']
166,ts22164,1.0,0.0,0.0,Monty Python's Flying Circus,SHOW,TV-14,30,"['comedy', 'european']",Eric Idle,Various,ACTOR,1969,4.0,8.8,73424.0,['GB']
167,ts22164,1.0,0.0,0.0,Monty Python's Flying Circus,SHOW,TV-14,30,"['comedy', 'european']",Terry Gilliam,Various,ACTOR,1969,4.0,8.8,73424.0,['GB']
567,ts20681,1.0,0.0,0.0,Seinfeld,SHOW,TV-PG,24,['comedy'],Jerry Seinfeld,Jerry Seinfeld,ACTOR,1989,9.0,8.9,308824.0,['US']
568,ts20681,1.0,0.0,0.0,Seinfeld,SHOW,TV-PG,24,['comedy'],Jason Alexander,George Costanza,ACTOR,1989,9.0,8.9,308824.0,['US']
569,ts20681,1.0,0.0,0.0,Seinfeld,SHOW,TV-PG,24,['comedy'],Michael Richards,Cosmo Kramer,ACTOR,1989,9.0,8.9,308824.0,['US']
570,ts20681,1.0,0.0,0.0,Seinfeld,SHOW,TV-PG,24,['comedy'],Julia Louis-Dreyfus,Elaine Benes,ACTOR,1989,9.0,8.9,308824.0,['US']
1027,ts22082,1.0,0.0,0.0,Knight Rider,SHOW,TV-PG,51,"['scifi', 'action', 'crime', 'drama']",David Hasselhoff,Michael Knight,ACTOR,1982,4.0,6.9,34115.0,['US']
1028,ts22082,1.0,0.0,0.0,Knight Rider,SHOW,TV-PG,51,"['scifi', 'action', 'crime', 'drama']",Edward Mulhare,Devon Miles,ACTOR,1982,4.0,6.9,34115.0,['US']
1029,ts22082,1.0,0.0,0.0,Knight Rider,SHOW,TV-PG,51,"['scifi', 'action', 'crime', 'drama']",William Daniels,K.I.T.T. (voice),ACTOR,1982,4.0,6.9,34115.0,['US']
1030,ts22082,1.0,0.0,0.0,Knight Rider,SHOW,TV-PG,51,"['scifi', 'action', 'crime', 'drama']",Patricia McPherson,Bonnie Barstow,ACTOR,1982,4.0,6.9,34115.0,['US']
1031,ts22082,1.0,0.0,0.0,Knight Rider,SHOW,TV-PG,51,"['scifi', 'action', 'crime', 'drama']",Peter Parros,RC3,ACTOR,1982,4.0,6.9,34115.0,['US']
1033,ts20678,1.0,0.0,0.0,Saved by the Bell,SHOW,TV-G,23,"['family', 'comedy', 'romance']",Mark-Paul Gosselaar,Zack Morris,ACTOR,1989,5.0,7.1,35034.0,['US']
1034,ts20678,1.0,0.0,0.0,Saved by the Bell,SHOW,TV-G,23,"['family', 'comedy', 'romance']",Mario López,A.C. Slater,ACTOR,1989,5.0,7.1,35034.0,['US']
1035,ts20678,1.0,0.0,0.0,Saved by the Bell,SHOW,TV-G,23,"['family', 'comedy', 'romance']",Dustin Diamond,Samuel 'Screech' Powers,ACTOR,1989,5.0,7.1,35034.0,['US']
